 0 1 2 3 4
abhor 6.12625745708e-07 1.61010693878e-76 3.27825763017e-103 0.00165786985115 2.38976456783e-103
abundance 0.00142809520689 2.43730265327e-71 3.27825763017e-103 1.65873269688e-103 2.38798556831e-103
abuse 1.42809520689e-103 2.67352728967e-103 0.00327825763017 1.65858135108e-103 2.38798054405e-103
abuses 0.00142809520689 3.27856814413e-43 3.27825763017e-103 1.65858135108e-103 2.38798054405e-103
acceptable 1.39097142053e-70 0.00267352728967 3.27825763017e-103 1.65858135108e-103 2.38798054405e-103
account 0.00142809520689 2.67352728967e-103 3.27825763017e-103 1.65858135108e-103 5.90726676294e-62
accumulate 1.42809520689e-103 2.67352728967e-103 0.00327825763017 1.65858135108e-103 2.38798054405e-103
acquaintance 0.00140621096272 2.67352728967e-103 3.27825763017e-103 0.0016839975832 1.26432590012e-95
add 0.00285619041378 2.77386706879e-58 3.27825763017e-103 3.71759669161e-16 2.39153138881e-103
adders 1.42809520689e-103 2.67352728967e-103 3.27825763017e-103 0.00165858135108 2.38798054405e-103
addeth 0.00142471211456 2.67352728967e-103 3.27825763017e-103 3.92910347854e-06 2.80227587173e-60
adding 3.89868525701e-101 0.00267352728967 3.27825763017e-103 1.65858135108e-103 7.93259383462e-60
admired 0.00104084222225 2.67352728967e-103 3.27825763017e-103 0.000449753332539 2.38974283107e-103
adoting 1.42809520689e-103 2.67352728967e-103 0.00327825763017 1.65858135108e-103 2.38798054405e-103
adverse 1.42980620608e-103 0.00267352728967 3.27825763017e-103 1.65858135108e-103 2.38798054405e-103
advocate 1.42809520689e-103 2.67352728967e-103 0.00327825763017 1.65858135108e-103 2.38798054405e-103
afar 1.42809520689e-103 2.67352728967e-103 3.27825763017e-103 0.00165858135108 2.38798054405e-103
affairs 1.90123114726e-15 0.00267352728967 3.27825763017e-103 0.00165858135108 2.38798054405e-103
affords 1.42809520689e-103 2.67352728967e-103 0.00327825763017 1.65858135108e-103 2.38798054405e-103
after 1.42809520689e-103 1.89656884481e-17 3.27825763017e-103 1.65858135108e-103 0.0047759610881
again 0.00141737221363 4.59127282158e-79 3.27825763017e-103 2.84901732915e-76 0.00240591093073
against 0.001427481398 2.67352728967e-103 3.27825763017e-103 3.40583611455e-34 0.00238900692078
age 0.00142809520689 0.00267352728967 0.00655651526035 4.38691500317e-52 2.13287522958e-37
ages 0.00285619041378 1.35139458291e-62 3.27825763017e-103 1.31877106873e-63 2.38900911472e-103
aggravate 0.00142809520689 3.69498839619e-83 3.27825763017e-103 6.66428705237e-49 2.39053087705e-103
air 1.42809520689e-103 2.67352728967e-103 0.00327825763017 1.65858135108e-103 2.38798054405e-103
all 0.00660434687141 0.0187434137358 3.27826642687e-103 0.010556326592 6.8361892713e-41
alone 1.42809520689e-103 2.67352728967e-103 0.00327825763017 1.65858135108e-103 2.38798054405e-103
already 1.42809520689e-103 2.67352728967e-103 3.27825763017e-103 0.00165858135108 2.38798054405e-103
although 1.42809520689e-103 2.67352824144e-103 3.27825763017e-103 1.65858135108e-103 0.00238798054405
am 4.41804889953e-31 0.00267352728967 3.27825763017e-103 0.00497574405324 2.38853357141e-103
among 0.00142809520689 2.67358455885e-103 3.27825763017e-103 1.65858135108e-103 2.38798054438e-103
an 2.52055465486e-15 3.19335385506e-102 3.27825763017e-103 0.00165858135108 2.38902719273e-103
and 0.0133889419715 3.51371168196e-73 3.27826977118e-103 0.0277092774249 0.1406950422
angel 0.00142809520689 2.0026776746e-60 3.27825763017e-103 3.2305120659e-81 6.9566949609e-80
