 0 1 2 3 4
abide 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 3.20214683898e-103
able 1.49399674001e-103 0.00127761768942 3.28947368421e-103 0.000577226261052 3.20214683898e-103
absence 1.49399674001e-103 0.00191971689803 3.28947368421e-103 1.72576292334e-103 3.20214683898e-103
abundance 1.49399674001e-103 0.00191971689803 3.28947368421e-103 1.72576292334e-103 3.20214683898e-103
abuse 1.49399674001e-103 0.00191971689803 0.00328947368421 1.72576292334e-103 3.20214683898e-103
accents 1.49399674001e-103 0.00170635601456 3.28947368421e-103 0.000191804480314 3.20214683898e-103
accident 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 3.20214683898e-103
accidents 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 3.20214683898e-103
accuse 1.49399674001e-103 0.00191971689803 3.28947368421e-103 1.72576292334e-103 3.20214683898e-103
acquainted 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 3.20214683898e-103
added 6.28245128254e-11 1.91971689803e-103 3.28947368421e-103 0.00172576285077 2.30401181722e-26
adjunct 1.49399674001e-103 0.00191971689803 3.28947368421e-103 1.72576292334e-103 3.20214683898e-103
admire 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 3.20214683898e-103
adonis 9.32039366368e-86 1.91971689803e-103 3.28947368421e-103 0.00172576292334 2.90268516302e-101
adore 1.49399674001e-103 2.32242851466e-10 3.28947368421e-103 0.00172576271456 3.20214683898e-103
adulterate 1.49399674001e-103 0.00191971689803 3.28947368421e-103 1.72576292334e-103 3.20214683898e-103
affords 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 3.20214683898e-103
afresh 0.00149399666743 1.91971689803e-103 3.28947368421e-103 8.38344823045e-11 1.32023152143e-53
after 1.49399674001e-103 0.000874266863944 3.28947368421e-103 0.000939825507024 3.20214683898e-103
again 5.82167252921e-11 1.417307093e-22 3.28947368421e-103 0.00345152577944 8.30719930025e-34
against 1.49399674001e-103 1.91971689803e-103 3.28947368421e-103 1.72576292334e-103 0.00320214683898
age 1.13547759464e-10 1.91971689803e-103 3.28947368421e-103 0.00172576279218 6.01366352277e-24
ages 1.49399674001e-103 0.00191971689803 3.28947368421e-103 5.0293896746e-25 3.20214683898e-103
ah 1.49399674001e-103 1.91971689803e-103 3.28947368421e-103 1.72576292334e-103 0.00320214683898
alive 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 3.20214683898e-103
all 0.0118997488338 0.00767883389239 3.28947368421e-103 2.14195006191e-07 0.00331374186456
almost 1.49399674001e-103 0.00191971689803 3.28947368421e-103 9.06336866923e-24 3.20214683898e-103
alone 1.49399674001e-103 1.91971689803e-103 0.00657894736842 1.72576292334e-103 3.20214683898e-103
alter 0.00149399674001 1.91971689803e-103 3.28947368421e-103 1.63396030164e-22 2.56109332053e-58
although 0.00298799348001 1.91971689803e-103 3.28947368421e-103 1.15050513042e-49 4.36740245311e-54
am 7.35483018828e-21 0.00383943379606 3.28947368421e-103 1.72576292334e-103 3.20214683898e-103
amiss 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 3.20214683898e-103
an 1.4044535516e-102 6.80876601425e-24 3.28947368421e-103 0.00517728846597 0.00320214740315
and 0.0222519856964 0.0326458519236 3.28947368421e-103 6.10067469421e-07 0.0963840581926
anew 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 3.20214683898e-103
anon 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 0.00320214683898
another 5.802431599e-33 0.00383943379606 3.28947368421e-103 1.72576292334e-103 0.00320214683898
answer 0.00149399674001 1.91971689803e-103 3.28947368421e-103 1.72576292334e-103 1.84536447773e-28
antique 1.49399674003e-103 0.00191971689803 3.28947368421e-103 0.00172576292334 3.20214683898e-103
any 0.00149399674001 1.91971689803e-103 3.28947368421e-103 1.72576292423e-103 4.30302668315e-60
appear 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 3.20214683898e-103
approve 1.49399674001e-103 1.91971689803e-103 0.00657894736842 1.72576292334e-103 3.20214683898e-103
april 0.00149399674001 1.91971689803e-103 3.28947368421e-103 5.64241002618e-23 3.73832863757e-24
aprils 0.00149399674001 1.91971689803e-103 3.28947368421e-103 1.72576292334e-103 1.2779115024e-27
are 0.0159988085306 0.00239045080977 0.00657894736842 7.36385542455e-26 0.00334963574398
argument 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 3.20214683898e-103
art 0.00652983583746 1.91972501633e-103 3.28947368421e-103 0.00281175747757 5.62781472296e-36
as 0.000640433318322 0.0151151129644 3.28947368421e-103 0.0115297314009 0.0192665674708
asked 1.49399674001e-103 4.6527048772e-23 3.28947368421e-103 0.00172576292334 3.20214683898e-103
assured 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 3.20214683898e-103
at 7.3051581142e-33 3.49642804316e-11 3.28947368421e-103 0.0051772887386 2.27055735467e-47
attainted 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 3.20214683898e-103
aught 0.00149399646841 1.91971689803e-103 3.28947368421e-103 3.13729894044e-10 1.40442639943e-58
autumn 1.49399674001e-103 0.00191971689803 3.28947368421e-103 1.72576292334e-103 3.20214683898e-103
away 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 3.20214683898e-103
backward 3.15951961379e-93 0.00191971689803 3.28947368421e-103 1.72576292334e-103 3.20214683898e-103
bad 1.49399674001e-103 0.000909667463922 3.28947368421e-103 0.00090800152143 3.20214683898e-103
bait 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 3.20214683898e-103
bark 1.49399689001e-103 1.91971689803e-103 0.00328947368421 0.00172576292334 3.20214684034e-103
barren 1.49399674001e-103 0.00191971689803 3.28947368421e-103 3.44806759337e-21 3.20214683898e-103
basest 1.49399674048e-103 2.02222094557e-13 3.28947368421e-103 0.00172576292316 3.20214683899e-103
bath 0.00149399674001 1.91971689803e-103 3.28947368421e-103 1.72576292334e-103 6.79227134083e-53
be 0.00664460676757 0.020255651569 3.28947368421e-103 1.87767118948e-06 3.53890756962e-51
bear 1.49399674001e-103 1.84869875602e-05 3.28947368421e-103 0.00170914372406 3.20214683898e-103
bearing 1.49399674001e-103 1.91971689803e-103 3.28947368421e-103 1.72576292334e-103 0.00320214683898
bears 0.00149399674001 1.91971689803e-103 3.28947368421e-103 1.18220141712e-25 1.10613481129e-57
beast 0.00298799348001 1.91971689803e-103 3.28947368421e-103 1.72576292334e-103 1.81381271924e-35
beauteous 0.00427683819965 1.91971689803e-103 3.28947368421e-103 0.000236977592334 7.16193866891e-26
beauty 0.00907667936064 0.00942044362165 3.28947368421e-103 8.66852713288e-16 0.00325773889137
beautys 1.49399674001e-103 0.00383943379606 3.28947368421e-103 2.41408705633e-18 3.20214683898e-103
beck 1.49399674001e-103 1.91971689803e-103 0.00328947368421 1.72576292334e-103 3.20214683898e-103
becoming 4.14729303431e-26 4.45441907874e-50 3.28947368421e-103 0.00172576292334 1.35049004246e-77
been 1.49399674001e-103 0.00383943369024 3.28947368421e-103 9.51266566171e-11 3.20214683898e-103
